235762	Chikombwi	Chikombwi	Chikombwe,Chikombwi	-9.61024	33.38374	P	PPL	MW		N	04			0		1210	Africa/Blantyre	2012-01-18
235763	Chibungu	Chibungu		-9.73333	33.56667	H	STM	MW		N	04			0		1046	Africa/Blantyre	2011-03-10
235764	Chewe	Chewe		-9.52744	33.32644	P	PPL	MW		N	04			0		1300	Africa/Blantyre	2011-06-06
235765	Chendo	Chendo		-9.89076	33.41205	P	PPL	MW		N	04			0		1373	Africa/Blantyre	2011-06-06
235766	Changaroma Hill	Changaroma Hill		-9.98333	33.51667	T	MT	MW		00				0		1412	Africa/Blantyre	1993-12-23
235767	Chambo River	Chambo River		-9.81302	33.56836	H	STM	MW		N	04			0		980	Africa/Blantyre	2011-06-06
235768	Cardi	Cardi		-9.61667	33.56667	P	PPL	MW		N	04			0		1028	Africa/Blantyre	2011-03-10
235769	Bindi River	Bindi River		-9.93837	33.47694	H	STM	MW		N	04			0		1324	Africa/Blantyre	2011-06-06
235770	Arfairyu	Arfairyu		-9.61667	33.33333	P	PPL	MW		N	04			0		1507	Africa/Blantyre	2011-03-10
235771	Adam	Adam		-9.50844	33.22149	P	PPL	MW		N	04			0		1267	Africa/Blantyre	2011-06-06
923267	Zyalambe	Zyalambe		-12.88333	33.88333	P	PPL	MW		C	09			0		1161	Africa/Blantyre	2011-03-10
923268	Zwayumbo Makamo	Zwayumbo Makamo		-11.85	33.46024	P	PPL	MW		N	15			0		1241	Africa/Blantyre	2011-06-06
923269	Zuwalinyenga	Zuwalinyenga		-12.63158	33.40025	P	PPL	MW		C	09			0		1189	Africa/Blantyre	2011-06-06
923270	Zunze	Zunze		-14.36667	34.25	P	PPL	MW		C	06			0		1494	Africa/Blantyre	2011-03-10
923271	Zun’guza	Zun'guza		-11.0243	33.58333	P	PPL	MW		N	21			0		1187	Africa/Blantyre	2011-06-06
923272	Zunguwa	Zunguwa		-12.51667	33.45	P	PPL	MW		C	09			0		1261	Africa/Blantyre	2011-03-10
923273	Zungusi	Zungusi		-13.87815	33.03293	P	PPL	MW		C	13			0		1106	Africa/Blantyre	2011-06-06
923274	Zunga Stream	Zunga Stream		-11.25	33.78333	H	STM	MW		N	15			0		1159	Africa/Blantyre	2011-03-10
923275	Zunga	Zunga		-11	34.06667	H	STM	MW		N	21			0		1675	Africa/Blantyre	2011-03-10
923276	Zunga	Zunga		-10.84222	34.20789	P	PPL	MW		N	21			0		587	Africa/Blantyre	2011-06-06
923277	Zumulu	Zumulu	Sumulu River,Zumulu	-15.08483	35.4962	H	STM	MW		S	28			0		644	Africa/Blantyre	2012-01-18
923278	Zulu Hill	Zulu Hill		-13.79716	32.93306	T	HLL	MW		C	13			0		1237	Africa/Blantyre	2011-06-06
923279	Zulu	Zulu		-13.81469	32.9688	P	PPL	MW		C	13			0		1156	Africa/Blantyre	2011-06-06
923280	Zozomala	Zozomala		-12.58199	33.35414	P	PPL	MW		C	09			0		1241	Africa/Blantyre	2011-06-06
923281	Zowole Hill	Zowole Hill		-11.55	33.66667	T	HLL	MW		N	15			0		1293	Africa/Blantyre	2011-03-10
923282	Zowe Hills	Zowe Hills		-11.24679	33.68146	T	HLLS	MW		N	15			0		1426	Africa/Blantyre	2011-06-06
923283	Zowe	Zowe		-14.0127	33.95064	T	HLL	MW		C	11			0		1205	Africa/Blantyre	2011-06-06
923284	Zowde	Zowde		-14.06667	33.43333	P	PPL	MW		C	11			0		1205	Africa/Blantyre	2011-03-10
923285	Zowani	Zowani		-11.2	34.2	P	PPL	MW		N	17			0		674	Africa/Blantyre	2011-03-10
923286	Zoolenge	Zoolenge		-12.85	33.3	H	STM	MW		C	09			0		1012	Africa/Blantyre	2011-03-10
923287	Zombwe	Zombwe		-11.32891	33.83875	P	PPL	MW		N	15			0		1155	Africa/Blantyre	2011-06-06
923288	Zomba Plateau	Zomba Plateau		-15.32715	35.32094	T	PLAT	MW		S	23			0		1740	Africa/Blantyre	2011-03-10
923289	Zomba Mountain	Zomba Mountain		-15.28333	35.28333	T	MT	MW		S	23			0		1438	Africa/Blantyre	2011-03-10
923290	Zomba Mission	Zomba Mission		-15.41667	35.3	S	MSSN	MW		S	23			0		968	Africa/Blantyre	2011-03-10
923291	Zomba Forest Reserve	Zomba Forest Reserve		-15.33214	35.30977	L	RESF	MW		S	23			0		1768	Africa/Blantyre	2011-03-10
923292	Zomba District	Zomba District	Zomba,Zomba District	-15.43007	35.41829	A	ADM2	MW		S	23			0		741	Africa/Blantyre	2011-03-10
923293	Zomba	Zomba		-15.35007	35.27463	T	PK	MW		S	23			0		2053	Africa/Blantyre	2011-03-10
923294	Zomba Airport	Zomba Airport	FWZA,Zomba	-15.38629	35.38411	S	AIRF	MW		S	23			0		804	Africa/Blantyre	2013-06-06
923295	Zomba	Zomba	Zomba,jomba,song ba,zomba,zonba,Зомба,ზომბა,ゾンバ,松巴,좀바	-15.38596	35.3188	P	PPLA2	MW		S	23			80932		949	Africa/Blantyre	2011-04-25
923296	Zolokere	Zolokere		-10.8488	33.48688	P	PPL	MW		N	21			0		1190	Africa/Blantyre	2011-06-06
923297	Zolire	Zolire		-13.6	33.96667	P	PPL	MW		C	07			0		1169	Africa/Blantyre	2011-03-10
923298	Zoa	Zoa		-16.35	35.26667	H	STM	MW		S	05			0		258	Africa/Blantyre	2011-03-10
923299	Ziwuya Lungu	Ziwuya Lungu		-11.22349	33.66285	P	PPL	MW		N	15			0		1157	Africa/Blantyre	2011-06-06
923300	Ziwa River	Ziwa River		-10.34518	33.6486	H	STM	MW		N	04			0		1257	Africa/Blantyre	2011-06-06
923301	Ziwande	Ziwande		-12.12618	33.44976	P	PPL	MW		N	15			0		1282	Africa/Blantyre	2011-06-06
923302	Zithani	Zithani		-12.50172	33.44484	P	PPL	MW		C	09			0		1301	Africa/Blantyre	2011-06-06
923303	Ziroro Nkhawerani	Ziroro Nkhawerani		-11.26285	33.85301	P	PPL	MW		N	15			0		1100	Africa/Blantyre	2011-06-06
923304	Zironzo	Zironzo		-16.26667	34.93333	P	PPL	MW		S	02			0		62	Africa/Blantyre	2011-03-10
923305	Zirona	Zirona		-16.76486	35.28283	P	PPL	MW		S	19			0		51	Africa/Blantyre	2011-03-10
923306	Zirimbuzi Hill	Zirimbuzi Hill		-14.81061	34.94748	T	MT	MW		C	16			0		700	Africa/Blantyre	2011-06-06
923307	Zinyoni	Zinyoni		-12.45547	33.62642	P	PPL	MW		N	15			0		1267	Africa/Blantyre	2011-06-06
923308	Zingwara Khowoya	Zingwara Khowoya		-11.26667	33.86667	P	PPL	MW		N	15			0		1119	Africa/Blantyre	2011-03-10
923309	Zimukambani	Zimukambani		-12.53333	33.46667	P	PPL	MW		C	09			0		1231	Africa/Blantyre	2011-03-10
923310	Zimponje	Zimponje		-15.76682	34.32017	P	PPL	MW		S	02			0		566	Africa/Blantyre	2011-03-10
923311	Zimpita	Zimpita		-13.28333	33.83333	P	PPL	MW		C	20			0		1172	Africa/Blantyre	2011-03-10
923312	Zimkondenge	Zimkondenge		-12.73333	33.56667	P	PPL	MW		C	09			0		1121	Africa/Blantyre	2011-03-10
923313	Zimema Jere	Zimema Jere		-11.33333	33.61667	P	PPL	MW		N	15			0		1258	Africa/Blantyre	2011-03-10
